team;position;game
Argentino;14;19
Comunicaciones;15;19
Atenas;16;19
La Union;17;19
Platense;18;19
Union;19;19
Hispano;20;19
Quimsa;1;20
Pe–arol;2;20
Boca Jrs;3;20
Gimnasia;4;20
Regatas;5;20
San Martin;6;20
Ferro;7;20
Instituto;8;20
Obera;9;20
Obras;10;20
Riachuelo;11;20
Olimpico;12;20
San Lorenzo;13;20
Argentino;14;20
Comunicaciones;15;20
Atenas;16;20
La Union;17;20
Platense;18;20
Union;19;20
Hispano;20;20
Quimsa;1;21
Gimnasia;2;21
Pe–arol;3;21
Boca Jrs;4;21
San Martin;5;21
Ferro;6;21
Instituto;7;21
Obras;8;21
Regatas;9;21
Obera;10;21
Riachuelo;11;21
Olimpico;12;21
San Lorenzo;13;21
Argentino;14;21
Comunicaciones;15;21
La Union;16;21
Atenas;17;21
Platense;18;21
Union;19;21
Hispano;20;21
Quimsa;1;22
Gimnasia;2;22
Pe–arol;3;22
Boca Jrs;4;22
San Martin;5;22
Ferro;6;22
Regatas;7;22
Instituto;8;22
Obera;9;22
Obras;10;22
Olimpico;11;22
Riachuelo;12;22
San Lorenzo;13;22
Argentino;14;22
Atenas;15;22
Comunicaciones;16;22
La Union;17;22
Platense;18;22
Union;19;22
Hispano;20;22
Quimsa;1;23
Gimnasia;2;23
Pe–arol;3;23
Boca Jrs;4;23
San Martin;5;23
Ferro;6;23
Regatas;7;23
Instituto;8;23
Obera;9;23
Obras;10;23
Olimpico;11;23
Riachuelo;12;23
San Lorenzo;13;23
Atenas;14;23
Comunicaciones;15;23
Platense;16;23
Union;17;23
Argentino;18;23
La Union;19;23
Hispano;20;23
Quimsa;1;24
Gimnasia;2;24
Pe–arol;3;24
San Martin;4;24
Boca Jrs;5;24
Regatas;6;24
Ferro;7;24
Instituto;8;24
Obera;9;24
Obras;10;24
Olimpico;11;24
Riachuelo;12;24
San Lorenzo;13;24
Platense;14;24
Atenas;15;24
Comunicaciones;16;24
Union;17;24
Argentino;18;24
La Union;19;24
Hispano;20;24
Quimsa;1;25
Pe–arol;2;25
Gimnasia;3;25
San Martin;4;25
Boca Jrs;5;25
Ferro;6;25
Instituto;7;25
Regatas;8;25
Obera;9;25
Obras;10;25
Olimpico;11;25
San Lorenzo;12;25
Riachuelo;13;25
Comunicaciones;14;25
Platense;15;25
Atenas;16;25
La Union;17;25
Union;18;25
Argentino;19;25
Hispano;20;25
Quimsa;1;26
Pe–arol;2;26
Gimnasia;3;26
Boca Jrs;4;26
Ferro;5;26
Instituto;6;26
San Martin;7;26
Obera;8;26
Regatas;9;26
Olimpico;10;26
Obras;11;26
Riachuelo;12;26
San Lorenzo;13;26
Comunicaciones;14;26
Platense;15;26
Argentino;16;26
Atenas;17;26
La Union;18;26
Union;19;26
Hispano;20;26
Quimsa;1;27
Pe–arol;2;27
Gimnasia;3;27
Ferro;4;27
Boca Jrs;5;27
Instituto;6;27
Obera;7;27
San Martin;8;27
Olimpico;9;27
Regatas;10;27
Obras;11;27
Riachuelo;12;27
San Lorenzo;13;27
Platense;14;27
Argentino;15;27
Comunicaciones;16;27
Atenas;17;27
La Union;18;27
Union;19;27
Hispano;20;27
Quimsa;1;28
Gimnasia;2;28
Pe–arol;3;28
Ferro;4;28
Instituto;5;28
Obera;6;28
San Martin;7;28
Boca Jrs;8;28
Olimpico;9;28
Regatas;10;28
Obras;11;28
Riachuelo;12;28
San Lorenzo;13;28
Platense;14;28
Comunicaciones;15;28
Argentino;16;28
Atenas;17;28
La Union;18;28
Union;19;28
Hispano;20;28
Quimsa;1;29
Gimnasia;2;29
Pe–arol;3;29
Instituto;4;29
San Martin;5;29
Boca Jrs;6;29
Ferro;7;29
Obera;8;29
Olimpico;9;29
Regatas;10;29
Obras;11;29
Riachuelo;12;29
San Lorenzo;13;29
Comunicaciones;14;29
Platense;15;29
Argentino;16;29
Atenas;17;29
La Union;18;29
Union;19;29
Hispano;20;29
Quimsa;1;30
Gimnasia;2;30
Pe–arol;3;30
San Martin;4;30
Ferro;5;30
Instituto;6;30
Boca Jrs;7;30
Obera;8;30
Regatas;9;30
Olimpico;10;30
Obras;11;30
Riachuelo;12;30
San Lorenzo;13;30
Platense;14;30
Argentino;15;30
Comunicaciones;16;30
Atenas;17;30
La Union;18;30
Union;19;30
Hispano;20;30
Quimsa;1;31
Gimnasia;2;31
Pe–arol;3;31
San Martin;4;31
Boca Jrs;5;31
Ferro;6;31
Instituto;7;31
Regatas;8;31
Obera;9;31
Olimpico;10;31
Obras;11;31
Riachuelo;12;31
San Lorenzo;13;31
Comunicaciones;14;31
Platense;15;31
Argentino;16;31
La Union;17;31
Atenas;18;31
Union;19;31
Hispano;20;31
Quimsa;1;32
Gimnasia;2;32
Pe–arol;3;32
San Martin;4;32
Ferro;5;32
Instituto;6;32
Boca Jrs;7;32
Regatas;8;32
Obera;9;32
Olimpico;10;32
Obras;11;32
Riachuelo;12;32
Comunicaciones;13;32
Platense;14;32
San Lorenzo;15;32
Argentino;16;32
Atenas;17;32
La Union;18;32
Union;19;32
Hispano;20;32
Quimsa;1;33
Gimnasia;2;33
Pe–arol;3;33
Ferro;4;33
Instituto;5;33
San Martin;6;33
Boca Jrs;7;33
Obera;8;33
Regatas;9;33
Olimpico;10;33
Obras;11;33
Platense;12;33
Riachuelo;13;33
San Lorenzo;14;33
Comunicaciones;15;33
Argentino;16;33
Atenas;17;33
La Union;18;33
Hispano;19;33
Union;20;33
Quimsa;1;34
Gimnasia;2;34
Pe–arol;3;34
Instituto;4;34
Ferro;5;34
San Martin;6;34
Boca Jrs;7;34
Obera;8;34
Regatas;9;34
Olimpico;10;34
Riachuelo;11;34
San Lorenzo;12;34
Obras;13;34
Platense;14;34
Atenas;15;34
Comunicaciones;16;34
La Union;17;34
Argentino;18;34
Union;19;34
Hispano;20;34
Quimsa;1;35
Gimnasia;2;35
Pe–arol;3;35
Instituto;4;35
Ferro;5;35
Boca Jrs;6;35
Regatas;7;35
San Martin;8;35
Obera;9;35
Olimpico;10;35
Riachuelo;11;35
San Lorenzo;12;35
Atenas;13;35
Comunicaciones;14;35
Obras;15;35
Platense;16;35
Argentino;17;35
La Union;18;35
Union;19;35
Hispano;20;35
Quimsa;1;36
Gimnasia;2;36
Pe–arol;3;36
Instituto;4;36
Boca Jrs;5;36
Ferro;6;36
Regatas;7;36
San Martin;8;36
Obera;9;36
Olimpico;10;36
Obras;11;36
Platense;12;36
Riachuelo;13;36
San Lorenzo;14;36
Atenas;15;36
Comunicaciones;16;36
La Union;17;36
Argentino;18;36
Union;19;36
Hispano;20;36
Quimsa;1;37
Gimnasia;2;37
Instituto;3;37
Pe–arol;4;37
Boca Jrs;5;37
Regatas;6;37
San Martin;7;37
Ferro;8;37
Obera;9;37
Olimpico;10;37
Atenas;11;37
Comunicaciones;12;37
Obras;13;37
Platense;14;37
Riachuelo;15;37
San Lorenzo;16;37
Argentino;17;37
La Union;18;37
Union;19;37
Hispano;20;37
Quimsa;1;38
Gimnasia;2;38
Instituto;3;38
Pe–arol;4;38
Boca Jrs;5;38
Regatas;6;38
San Martin;7;38
Ferro;8;38
Obera;9;38
Olimpico;10;38
Riachuelo;11;38
Atenas;12;38
Comunicaciones;13;38
Obras;14;38
Platense;15;38
San Lorenzo;16;38
Argentino;17;38
La Union;18;38
Union;19;38
Hispano;20;38
